=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2026-5-27_21-0-8
====================================================================================
21:0:8 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
21:0:8 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
21:0:8 | [PermissionManager] Perm (MenuBansManager) has been registered!
21:0:8 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
21:0:8 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
21:0:8 | [PermissionManager] Perm (MenuWebHooks) has been registered!
21:0:8 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
21:0:8 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
21:0:8 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
21:0:8 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
21:0:8 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
21:0:8 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
21:0:8 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
21:0:8 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
21:0:8 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
21:0:8 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
21:0:8 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
21:0:8 | [PermissionManager] Perm (EspToolsMenu) has been registered!
21:0:8 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
21:0:8 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
21:0:8 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
21:0:8 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
21:0:8 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
21:0:8 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
21:0:8 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
21:0:8 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
21:0:8 | [PermissionManager] Adding Super Admin (76561198119114852)
21:0:8 | [PermissionManager] Loaded UserGroups.json
21:0:8 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
21:0:8 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
21:0:8 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
21:0:8 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
21:0:8 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
21:0:8 | Building Sets Loaded: 0
21:0:8 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
21:2:38 | Player "Luisokhans" (steamId=76561198028932484) connected to server!
21:2:45 | Player "Juts" (steamId=76561198119114852) connected to server!
21:3:14 | [WeatherManager] Send Data Count is 0
21:3:19 | [Time Manager] Setting Date to 2026/3/1 7:25
21:58:55 | "76561198119114852" (steamid=76561198119114852) teleported to (pos=<4900.720215, 9.480000, 2503.500000>)
21:58:55 | "Juts": (steamid=76561198119114852) teleported to (pos=4900.72,0,2503.5)
22:5:2 | "76561198119114852" (steamid=76561198119114852) teleported to (pos=<4929.459961, 9.500000, 2478.770020>)
22:5:2 | "Juts": (steamid=76561198119114852) teleported to (pos=4929.46,0,2478.77)
22:19:13 | Player "Luisokhans" (steamId=76561198028932484) initiated disconnect process...
22:19:17 | Player "Luisokhans" (steamId=76561198028932484) disconnected early from server (EXIT NOW).
22:19:28 | Player "Luisokhans" (steamId=76561198028932484) disconnected from server.
22:19:57 | Player "Juts" (steamId=76561198119114852) initiated disconnect process...
22:20:1 | Player "Juts" (steamId=76561198119114852) disconnected early from server (EXIT NOW).
22:20:12 | Player "Juts" (steamId=76561198119114852) disconnected from server.
23:2:54 | Player "Juts" (steamId=76561198119114852) connected to server!
23:3:53 | "76561198119114852" (steamid=76561198119114852) teleported to (pos=<3737.040039, 401.710999, 6017.379883>)
23:3:53 | "Juts": (steamid=76561198119114852) teleported to (pos=3737.04,0,6017.38)
23:5:8 | Player "Juts" (steamId=76561198119114852) initiated disconnect process...
23:5:11 | Player "Juts" (steamId=76561198119114852) disconnected early from server (EXIT NOW).
